"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript JSX", "XML", "TypeScript", "Markdown", "CSS", "comment", "blank", "total"
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/.eslintrc.json", "JSON with Comments", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/.storybook/global.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 92, 0, 11, 103
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/.storybook/main.ts", "TypeScript", 0, 0, 0, 0, 0, 34, 0, 0, 0, 2, 36
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/.storybook/manager.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/.storybook/preview.tsx", "TypeScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 0, 3, 50
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 23, 0, 0, 14, 37
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/app/(pages)/(sb)/(content)/about/page.tsx", "TypeScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/app/(pages)/(sb)/(content)/template.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/app/(pages)/(sb)/(landing)/page.tsx", "TypeScript JSX", 0, 0, 0, 1032, 0, 0, 0, 0, 0, 11, 1043
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/app/(pages)/sw/page.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/app/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 130, 0, 15, 145
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/components.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/components/EmptyComp.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/components/provider/ThemeProvider.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
